Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Thomas Todd,Thomas Jefferson,Jeffersonian Republican,1,Liberty Hall Academy (now Washington and Lee University),,1783-01-01,1783,Washington and Lee,
Smith Thompson,James Monroe,Jeffersonian Republican,1,College of New Jersey (now Princeton University),,1788-01-01,1788,Princeton,
Samuel Nelson,John Tyler,Whig,1,Middlebury College,,1813-01-01,1813,Middlebury,
Brett M. Kavanaugh,Donald J. Trump,Republican,1,Yale College,B.A.,1987-01-01,1987,Yale,B.A.
Neil M. Gorsuch,Donald J. Trump,Republican,1,Columbia University,B.A.,1988-01-01,1988,Columbia,B.A.
Joseph Story,James Madison,Jeffersonian Republican,1,Harvard College,,1798-01-01,1798,Harvard,
Gabriel Duvall,James Madison,Jeffersonian Republican,1,Read law,,1778-01-01,1778,Read law,
Levi Woodbury,James K. Polk,Democratic,1,Litchfield (Tapping Reeve) Law School,,,,Litchfield (Tapping Reeve),
Robert Cooper Grier,James K. Polk,Democratic,1,Dickinson College,B.A.,1812-01-01,1812,Dickinson,B.A.
Benjamin Robbins Curtis,Millard Fillmore,Whig,1,Harvard Law School,,,,Harvard,
Arthur Joseph Goldberg,John F. Kennedy,Democratic,1,Northwestern University School of Law,B.S.L.,1929-01-01,1929,Northwestern,B.S.L.
Byron Raymond White,John F. Kennedy,Democratic,1,"University of Oxford, Rhodes Scholar",,,,"Uof Oxford, Rhodes Scholar",
Howell Edmunds Jackson,Benjamin Harrison,Republican,1,University of Virginia,,,,Uof Virginia,
Henry Billings Brown,Benjamin Harrison,Republican,1,Yale Law School,,,,Yale,
David Josiah Brewer,Benjamin Harrison,Republican,1,Albany Law School,,,,Albany,
"George Shiras, Jr.",Benjamin Harrison,Republican,1,Yale Law School,,,,Yale,
Peter Vivian Daniel,Martin Van Buren,Democratic,1,Princeton University,,,,Princeton,
John McKinley,Martin Van Buren,Democratic,1,Read law,,1800-01-01,1800,Read law,
John Paul Stevens,Gerald Ford,Republican,1,University of Chicago,B.A.,1941-01-01,1941,Uof Chicago,B.A.
Robert Trimble,John Quincy Adams,Jeffersonian Republican,1,Read law,,1803-01-01,1803,Read law,
Joseph McKenna,William McKinley,Republican,1,Read law,,1865-01-01,1865,Read law,
Charles Anthony Ingersoll,Franklin Pierce,Democratic,1,Read law,,,,Read law,
William Davis Shipman,James Buchanan,Democratic,1,Read law,,1849-01-01,1849,Read law,
James Perry Platt,Theodore Roosevelt,Republican,1,Yale College,A.B.,1873-01-01,1873,Yale,B.A.
Edwin Stark Thomas,Woodrow Wilson,Democratic,1,Yale Law School,LL.B.,1895-01-01,1895,Yale,LL.B.
Warren Booth Burrows,Calvin Coolidge,Republican,1,University of Michigan Law School,LL.B.,1904-01-01,1904,Uof Michigan,LL.B.
Robert Carmine Zampano,Lyndon B. Johnson,Democratic,1,Yale University,B.A.,1951-01-01,1951,Yale,B.A.
Alfred V. Covello,George H.W. Bush,Republican,1,Harvard University,A.B.,1954-01-01,1954,Harvard,B.A.
Mark R. Kravitz,George W. Bush,Republican,1,Wesleyan University,B.A.,1972-01-01,1972,Wesleyan,B.A.
Vanessa Lynne Bryant,George W. Bush,Republican,1,Howard University,B.A.,1975-01-01,1975,Howard,B.A.
Peter Collins Dorsey,Ronald Reagan,Republican,1,Yale University,B.A.,1953-01-01,1953,Yale,B.A.
