Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Glen H. Davidson,Ronald Reagan,Republican,3,,,,,,
"W. Allen Pepper, Jr.",William J. Clinton,Democratic,3,,,,,,
Debra Marie Brown,Barack Obama,Democratic,3,,,,,,
"Lyonel Thomas Senter, Jr.",Jimmy Carter,Democratic,3,University of Mississippi School of Law,LL.B.,1959-01-01,1959,Uof Mississippi,LL.B.
Charles I. Dawson,Calvin Coolidge,Republican,3,,,,,,
Mac Swinford,Franklin D. Roosevelt,Democratic,3,University of Virginia School of Law,,1925-01-01,1925,Uof Virginia,
Roy Mahlon Shelbourne,Harry S Truman,Democratic,3,,,,,,
Charles Mengel Allen,Richard M. Nixon,Republican,3,,,,,,
Clifton Rhodes Bratcher,Richard M. Nixon,Republican,3,,,,,,
James Fleming Gordon,Lyndon B. Johnson,Democratic,3,,,,,,
"John Gilpin Heyburn, II",George H.W. Bush,Republican,3,,,,,,
"Charles Ralph Simpson, III",Ronald Reagan,Republican,3,,,,,,
Ronald Edward Meredith,Ronald Reagan,Republican,3,,,,,,
Thomas B. Russell,William J. Clinton,Democratic,3,,,,,,
Jennifer B. Coffman,William J. Clinton,Democratic,3,University of Kentucky College of Law,J.D.,1978-01-01,1978,Uof Kentucky,J.D.
"Joseph H. McKinley, Jr.",William J. Clinton,Democratic,3,,,,,,
Gregory N. Stivers,Barack Obama,Democratic,3,,,,,,
David Jason Hale,Barack Obama,Democratic,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
Edward Huggins Johnstone,Jimmy Carter,Democratic,3,,,,,,
"Thomas Austin Ballantine, Jr.",Jimmy Carter,Democratic,3,,,,,,
Fred Morton Raymond,Calvin Coolidge,Republican,3,,,,,,
Solomon Lewis Withey,Abraham Lincoln,Republican,3,,,,,,
Raymond Wesley Starr,Harry S Truman,Democratic,3,,,,,,
Wendell Alverson Miles,Richard M. Nixon,Republican,3,University of Michigan Law School,J.D.,1942-01-01,1942,Uof Michigan,J.D.
Clarence W. Sessions,William H. Taft,Republican,3,,,,,,
Gordon Jay Quist,George H.W. Bush,Republican,3,,,,,,
Paul Lewis Maloney,George W. Bush,Republican,3,,,,,,
Janet T. Neff,George W. Bush,Republican,3,,,,,,
Robert James Jonker,George W. Bush,Republican,3,,,,,,
Robert Holmes Bell,Ronald Reagan,Republican,3,,,,,,
Noel Peter Fox,John F. Kennedy,Democratic,3,,,,,,
George P. Wanty,William McKinley,Republican,3,,,,,,
Richard Alan Enslen,Jimmy Carter,Democratic,3,,,,,,
Benjamin F. Gibson,Jimmy Carter,Democratic,3,,,,,,
Douglas Woodruff Hillman,Jimmy Carter,Democratic,3,,,,,,
Merrill E. Otis,Calvin Coolidge,Republican,3,University of Missouri School of Law,LL.B.,1910-01-01,1910,Uof Missouri,LL.B.
Richard M. Duncan,Franklin D. Roosevelt,Democratic,3,,,,,,
John Finis Philips,Grover Cleveland,Democratic,3,,,,,,
John Finis Philips,Grover Cleveland,Democratic,3,,,,,,
Randle Jasper Smith,Dwight D. Eisenhower,Republican,3,,,,,,
Arnold Krekel,Abraham Lincoln,Republican,3,,,,,,
Roy Winfield Harper,Harry S Truman,Democratic,3,,,,,,
Harris Kenneth Wangelin,Richard M. Nixon,Republican,3,,,,,,
William Robert Collinson,Lyndon B. Johnson,Democratic,3,,,,,,
Elmo Bolton Hunter,Lyndon B. Johnson,Democratic,3,,,,,,
Albert L. Reeves,Warren G. Harding,Republican,3,,,,,,
"Fernando J. Gaitan, Jr.",George H.W. Bush,Republican,3,,,,,,
Richard Everett Dorr,George W. Bush,Republican,3,,,,,,
David Gregory Kays,George W. Bush,Republican,3,,,,,,
D. Brook Bartlett,Ronald Reagan,Republican,3,,,,,,
Stephen Nathaniel Limbaugh,Ronald Reagan,Republican,3,,,,,,
"Joseph Edward Stevens, Jr.",Ronald Reagan,Republican,3,,,,,,
Ross Thompson Roberts,Ronald Reagan,Republican,3,,,,,,
Dean Whipple,Ronald Reagan,Republican,3,,,,,,
Rodney W. Sippel,William J. Clinton,Democratic,3,,,,,,
Nanette Kay Laughrey,William J. Clinton,Democratic,3,,,,,,
Gary A. Fenner,William J. Clinton,Democratic,3,,,,,,
Ortrie D. Smith,William J. Clinton,Democratic,3,,,,,,
Stephen Rogers Bough,Barack Obama,Democratic,3,,,,,,
M. Douglas Harpool,Barack Obama,Democratic,3,,,,,,
Brian Curtis Wimes,Barack Obama,Democratic,3,"Texas Southern University, Thurgood Marshall School of Law",J.D.,1994-01-01,1994,"Texas Southern, Thurgood Marshall",J.D.
Roseann Ambrosia Ketchmark,Barack Obama,Democratic,3,,,,,,
Mary Elizabeth Phillips,Barack Obama,Democratic,3,University of Missouri School of Law,J.D.,1996-01-01,1996,Uof Missouri,J.D.
William Henry Becker,John F. Kennedy,Democratic,3,,,,,,
John Watkins Oliver,John F. Kennedy,Democratic,3,,,,,,
Russell Gentry Clark,Jimmy Carter,Democratic,3,,,,,,
Scott Olin Wright,Jimmy Carter,Democratic,3,,,,,,
Howard Frederic Sachs,Jimmy Carter,Democratic,3,,,,,,
Simon Louis Adler,Calvin Coolidge,Republican,3,,,,,,
Harlan Watson Rippey,Franklin D. Roosevelt,Democratic,3,,,,,,
Harold P. Burke,Franklin D. Roosevelt,Democratic,3,,,,,,
John Knight,Herbert Hoover,Republican,3,,,,,,
Justin Colfax Morgan,Dwight D. Eisenhower,Republican,3,,,,,,
John Oliver Henderson,Dwight D. Eisenhower,Republican,3,,,,,,
John Thomas Curtin,Lyndon B. Johnson,Democratic,3,,,,,,
William M. Skretny,George H.W. Bush,Republican,3,Northwestern University School of Law,LL.M.,1972-01-01,1972,Northwestern,LL.M.
Richard Joseph Arcara,Ronald Reagan,Republican,3,,,,,,
Michael Anthony Telesca,Ronald Reagan,Republican,3,,,,,,
David G. Larimer,Ronald Reagan,Republican,3,,,,,,
Charles J. Siragusa,William J. Clinton,Democratic,3,,,,,,
Lawrence Joseph Vilardo,Barack Obama,Democratic,3,,,,,,
Elizabeth Ann Wolford,Barack Obama,Democratic,3,,,,,,
"Frank Paul Geraci, Jr.",Barack Obama,Democratic,3,,,,,,
John Thomas Elfvin,Gerald Ford,Republican,3,,,,,,
John Raymond Hazel,William McKinley,Republican,3,,,,,,
Edgar Sullins Vaught,Calvin Coolidge,Republican,3,Read law,,1906-01-01,1906,Read law,
Bower Slack Broaddus,Franklin D. Roosevelt,Democratic,3,,,,,,
"Stephen Sanders Chandler, Jr.",Franklin D. Roosevelt,Democratic,3,,,,,,
Ross Rizley,Dwight D. Eisenhower,Republican,3,,,,,,
William Robert Wallace,Harry S Truman,Democratic,3,,,,,,
Luther Boyd Eubanks,Lyndon B. Johnson,Democratic,3,,,,,,
Timothy D. Leonard,George H.W. Bush,Republican,3,,,,,,
Robin J. Cauthron,George H.W. Bush,Republican,3,University of Oklahoma College of Law,J.D.,1977-01-01,1977,Uof Oklahoma,J.D.
James H. Payne,George W. Bush,Republican,3,,,,,,
Joe L. Heaton,George W. Bush,Republican,3,,,,,,
Timothy D. DeGiusti,George W. Bush,Republican,3,,,,,,
Stephen P. Friot,George W. Bush,Republican,3,,,,,,
David Lynn Russell,Ronald Reagan,Republican,3,,,,,,
Layn R. Phillips,Ronald Reagan,Republican,3,,,,,,
Wayne Edward Alley,Ronald Reagan,Republican,3,,,,,,
Billy Michael Burrage,William J. Clinton,Democratic,3,,,,,,
Vicki Miles-LaGrange,William J. Clinton,Democratic,3,Howard University School of Law,J.D.,1977-01-01,1977,Howard,J.D.
,Donald J. Trump,Republican,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
,Donald J. Trump,Republican,3,University of Oklahoma College of Law,J.D.,1997-01-01,1997,Uof Oklahoma,J.D.
Luther Lee Bohanon,John F. Kennedy,Democratic,3,,,,,,
Frederick Alvin Daugherty,John F. Kennedy,Democratic,3,,,,,,
Harold Dale Cook,Gerald Ford,Republican,3,,,,,,
Ralph Gordon Thompson,Gerald Ford,Republican,3,,,,,,
Lee Roy West,Jimmy Carter,Democratic,3,University of Oklahoma College of Law,J.D.,1956-01-01,1956,Uof Oklahoma,J.D.
Ambrose O'Connell,Franklin D. Roosevelt,Democratic,3,,,,,,
Joseph Raymond Jackson,Franklin D. Roosevelt,Democratic,3,,,,,,
Irvine Luther Lenroot,Herbert Hoover,Republican,3,,,,,,
Isaac Jack Martin,Dwight D. Eisenhower,Republican,3,,,,,,
Arthur Mumford Smith,Dwight D. Eisenhower,Republican,3,,,,,,
Noble Jacob Johnson,Dwight D. Eisenhower,Republican,3,,,,,,
Francis Eugene Worley,Dwight D. Eisenhower,Republican,3,,,,,,
William Purrington Cole,Harry S Truman,Democratic,3,,,,,,
Donald Edward Lane,Richard M. Nixon,Republican,3,,,,,,
Alfred Paul Murrah,Franklin D. Roosevelt,Democratic,3,,,,,,
Sam Gilbert Bratton,Franklin D. Roosevelt,Democratic,3,,,,,,
Robert Lee Williams,Franklin D. Roosevelt,Democratic,3,Southern University,M.A.,1894-01-01,1894,Southern,M.A.
Walter August Huxman,Franklin D. Roosevelt,Democratic,3,,,,,,
Orie Leon Phillips,Herbert Hoover,Republican,3,,,,,,
George Thomas McDermott,Herbert Hoover,Republican,3,,,,,,
David Thomas Lewis,Dwight D. Eisenhower,Republican,3,,,,,,
Jean Sala Breitenstein,Dwight D. Eisenhower,Republican,3,,,,,,
John Coleman Pickett,Harry S Truman,Democratic,3,,,,,,
William Edward Doyle,Richard M. Nixon,Republican,3,,,,,,
"Robert Hugh McWilliams, Jr.",Richard M. Nixon,Republican,3,,,,,,
James Emmett Barrett,Richard M. Nixon,Republican,3,,,,,,
John Joseph Hickey,Lyndon B. Johnson,Democratic,3,,,,,,
"William Judson Holloway, Jr.",Lyndon B. Johnson,Democratic,3,,,,,,
"Paul Joseph Kelly, Jr.",George H.W. Bush,Republican,3,,,,,,
Harris L. Hartz,George W. Bush,Republican,3,,,,,,
Timothy M. Tymkovich,George W. Bush,Republican,3,,,,,,
Terrence L. O'Brien,George W. Bush,Republican,3,,,,,,
Jerome A. Holmes,George W. Bush,Republican,3,Harvard University,M.P.A.,2000-01-01,2000,Harvard,M.P.A.
Michael W. McConnell,George W. Bush,Republican,3,,,,,,
David M. Ebel,Ronald Reagan,Republican,3,,,,,,
Bobby Ray Baldock,Ronald Reagan,Republican,3,,,,,,
John Carbone Porfilio,Ronald Reagan,Republican,3,,,,,,
Wade Brorby,Ronald Reagan,Republican,3,,,,,,
Stephen Hale Anderson,Ronald Reagan,Republican,3,,,,,,
Deanell Reece Tacha,Ronald Reagan,Republican,3,,,,,,
Michael R. Murphy,William J. Clinton,Democratic,3,,,,,,
Mary Beck Briscoe,William J. Clinton,Democratic,3,University of Virginia School of Law,LL.M.,1990-01-01,1990,Uof Virginia,LL.M.
Robert Harlan Henry,William J. Clinton,Democratic,3,,,,,,
Carlos F. Lucero,William J. Clinton,Democratic,3,,,,,,
Carolyn Baldwin McHugh,Barack Obama,Democratic,3,,,,,,
Gregory Alan Phillips,Barack Obama,Democratic,3,,,,,,
Robert Edwin Bacharach,Barack Obama,Democratic,3,,,,,,
"Scott Milne Matheson, Jr.",Barack Obama,Democratic,3,Yale Law School,J.D.,1980-01-01,1980,Yale,J.D.
Nancy Louise Moritz,Barack Obama,Democratic,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
"Joel McElroy Carson, III",Donald J. Trump,Republican,3,,,,,,
Oliver Seth,John F. Kennedy,Democratic,3,,,,,,
Delmas Carl Hill,John F. Kennedy,Democratic,3,,,,,,
Monroe G. McKay,Jimmy Carter,Democratic,3,,,,,,
James Kenneth Logan,Jimmy Carter,Democratic,3,,,,,,
Stephanie Kulp Seymour,Jimmy Carter,Democratic,3,,,,,,
David W. Ling,Franklin D. Roosevelt,Democratic,3,,,,,,
Albert Morris Sames,Herbert Hoover,Republican,3,,,,,,
Howard C. Speakman,Harry S Truman,Democratic,3,,,,,,
James Augustine Walsh,Harry S Truman,Democratic,3,,,,,,
William C. Frey,Richard M. Nixon,Republican,3,,,,,,
Charles Andrew Muecke,Lyndon B. Johnson,Democratic,3,,,,,,
William Perry Copple,Lyndon B. Johnson,Democratic,3,"University of California, Berkeley, Boalt Hall School of Law",J.D.,1951-01-01,1951,"Uof California, Berkeley",J.D.
Richard Elihu Sloan,William H. Taft,Republican,3,,,,,,
Fred Clinton Jacobs,Warren G. Harding,Republican,3,,,,,,
Stephen M. McNamee,George H.W. Bush,Republican,3,University of Arizona College of Law,J.D.,1969-01-01,1969,Uof Arizona,J.D.
John McCarthy Roll,George H.W. Bush,Republican,3,University of Virginia School of Law,LL.M.,1990-01-01,1990,Uof Virginia,LL.M.
Frederick J. Martone,George W. Bush,Republican,3,Harvard Law School,LL.M.,1975-01-01,1975,Harvard,LL.M.
G. Murray Snow,George W. Bush,Republican,3,,,,,,
Neil Vincent Wake,George W. Bush,Republican,3,,,,,,
Cindy K. Jorgenson,George W. Bush,Republican,3,,,,,,
David C. Bury,George W. Bush,Republican,3,,,,,,
David G. Campbell,George W. Bush,Republican,3,,,,,,
William Docker Browning,Ronald Reagan,Republican,3,,,,,,
Roger Gordon Strand,Ronald Reagan,Republican,3,National College of State Trial Judges (now National Judicial College),,1968-01-01,1968,National Judicial,
Paul Gerhardt Rosenblatt,Ronald Reagan,Republican,3,,,,,,
Robert Cameron Broomfield,Ronald Reagan,Republican,3,,,,,,
Raner Christercunean Collins,William J. Clinton,Democratic,3,,,,,,
Frank R. Zapata,William J. Clinton,Democratic,3,University of Arizona College of Law,J.D.,1973-01-01,1973,Uof Arizona,J.D.
Roslyn O. Silver,William J. Clinton,Democratic,3,,,,,,
Susan Ritchie Bolton,William J. Clinton,Democratic,3,,,,,,
James A. Teilborg,William J. Clinton,Democratic,3,,,,,,
Douglas Leroy Rayes,Barack Obama,Democratic,3,,,,,,
Rosemary MÃ¡rquez,Barack Obama,Democratic,3,,,,,,
John Joseph Tuchi,Barack Obama,Democratic,3,Arizona State University College of Law,J.D.,1994-01-01,1994,Arizona State,J.D.
Jennifer Guerin Zipps,Barack Obama,Democratic,3,,,,,,
Steven Paul Logan,Barack Obama,Democratic,3,National University,M.A.,1997-01-01,1997,National,M.A.
Diane Joyce Humetewa,Barack Obama,Democratic,3,Arizona State University College of Law,J.D.,1993-01-01,1993,Arizona State,J.D.
James Alan Soto,Barack Obama,Democratic,3,,,,,,
,Donald J. Trump,Republican,3,University of Wisconsin Law School,J.D.,1994-01-01,1994,Uof Wisconsin,J.D.
,Donald J. Trump,Republican,3,,,,,,
Arthur Marshall Davis,John F. Kennedy,Democratic,3,,,,,,
Walter Early Craig,John F. Kennedy,Democratic,3,,,,,,
Mary Anne Richey,Gerald Ford,Republican,3,,,,,,
Charles Leach Hardy,Jimmy Carter,Democratic,3,,,,,,
Richard Mansfield Bilby,Jimmy Carter,Democratic,3,,,,,,
Valdemar Aguirre Cordova,Jimmy Carter,Democratic,3,,,,,,
Earl Hamblin Carroll,Jimmy Carter,Democratic,3,,,,,,
Alfredo Chavez Marquez,Jimmy Carter,Democratic,3,,,,,,
Edward Clayton Eicher,Franklin D. Roosevelt,Democratic,3,,,,,,
Matthew Francis McGuire,Franklin D. Roosevelt,Democratic,3,,,,,,
Henry Albert Schweinhaut,Franklin D. Roosevelt,Democratic,3,,,,,,
David Andrew Pine,Franklin D. Roosevelt,Democratic,3,,,,,,
Thomas Alan Goldsborough,Franklin D. Roosevelt,Democratic,3,,,,,,
James Ward Morris,Franklin D. Roosevelt,Democratic,3,Read law,,1913-01-01,1913,Read law,
Joseph Charles McGarraghy,Dwight D. Eisenhower,Republican,3,,,,,,
John Joseph Sirica,Dwight D. Eisenhower,Republican,3,,,,,,
Leonard Patrick Walsh,Dwight D. Eisenhower,Republican,3,,,,,,
"George Luzerne Hart, Jr.",Dwight D. Eisenhower,Republican,3,,,,,,
Edward Matthew Curran,Harry S Truman,Democratic,3,,,,,,
Richmond Bowling Keech,Harry S Truman,Democratic,3,,,,,,
Alexander Holtzoff,Harry S Truman,Democratic,3,Columbia Law School,LL.B.,1911-01-01,1911,Columbia,LL.B.
Luther Wallace Youngdahl,Harry S Truman,Democratic,3,,,,,,
Charles Francis McLaughlin,Harry S Truman,Democratic,3,,,,,,
Burnita Shelton Matthews,Harry S Truman,Democratic,3,,,,,,
James Robert Kirkland,Harry S Truman,Democratic,3,George Washington University Law School,LL.M.,1929-01-01,1929,George Washington,LL.M.
Charles Robert Richey,Richard M. Nixon,Republican,3,,,,,,
"Barrington Daniels Parker, Sr.",Richard M. Nixon,Republican,3,University of Chicago Law School,J.D.,1947-01-01,1947,Uof Chicago,J.D.
Thomas Aquinas Flannery,Richard M. Nixon,Republican,3,,,,,,
Oliver Gasch,Lyndon B. Johnson,Democratic,3,,,,,,
"Aubrey Eugene Robinson, Jr.",Lyndon B. Johnson,Democratic,3,,,,,,
Joseph Cornelius Waddy,Lyndon B. Johnson,Democratic,3,,,,,,
William Benson Bryant,Lyndon B. Johnson,Democratic,3,,,,,,
John Helm Pratt,Lyndon B. Johnson,Democratic,3,,,,,,
"John Lewis Smith, Jr.",Lyndon B. Johnson,Democratic,3,Georgetown College Law School (now Georgetown University Law Center),LL.M.,1939-01-01,1939,Georgetown,LL.M.
Gerhard Alden Gesell,Lyndon B. Johnson,Democratic,3,,,,,,
Howard Francis Corcoran,Lyndon B. Johnson,Democratic,3,,,,,,
June Lazenby Green,Lyndon B. Johnson,Democratic,3,,,,,,
Rosemary M. Collyer,George W. Bush,Republican,3,,,,,,
John D. Bates,George W. Bush,Republican,3,,,,,,
Reggie B. Walton,George W. Bush,Republican,3,,,,,,
Richard J. Leon,George W. Bush,Republican,3,Harvard Law School,LL.M.,1981-01-01,1981,Harvard,LL.M.
Thomas Penfield Jackson,Ronald Reagan,Republican,3,,,,,,
Royce C. Lamberth,Ronald Reagan,Republican,3,,,,,,
Thomas Francis Hogan,Ronald Reagan,Republican,3,,,,,,
Stanley S. Harris,Ronald Reagan,Republican,3,,,,,,
George Hughes Revercomb,Ronald Reagan,Republican,3,University of Virginia School of Law,LL.M.,1982-01-01,1982,Uof Virginia,LL.M.
Stanley Sporkin,Ronald Reagan,Republican,3,,,,,,
Richard W. Roberts,William J. Clinton,Democratic,3,Columbia Law School,J.D.,1978-01-01,1978,Columbia,J.D.
Ricardo M. Urbina,William J. Clinton,Democratic,3,,,,,,
Emmet G. Sullivan,William J. Clinton,Democratic,3,,,,,,
Ellen Segal Huvelle,William J. Clinton,Democratic,3,Boston College Law School,J.D.,1975-01-01,1975,Boston,J.D.
Colleen Kollar-Kotelly,William J. Clinton,Democratic,3,,,,,,
Gladys Kessler,William J. Clinton,Democratic,3,,,,,,
Paul L. Friedman,William J. Clinton,Democratic,3,State University of New York at Buffalo Law School,J.D.,1968-01-01,1968,State Uof New York at Buffalo,J.D.
James Robertson,William J. Clinton,Democratic,3,,,,,,
"Henry Harold Kennedy, Jr.",William J. Clinton,Democratic,3,,,,,,
Rudolph Contreras,Barack Obama,Democratic,3,,,,,,
Christopher Reid Cooper,Barack Obama,Democratic,3,,,,,,
Amit Priyavadan Mehta,Barack Obama,Democratic,3,,,,,,
James Emanuel Boasberg,Barack Obama,Democratic,3,Yale Law School,J.D.,1990-01-01,1990,Yale,J.D.
Amy Berman Jackson,Barack Obama,Democratic,3,,,,,,
Beryl Alaine Howell,Barack Obama,Democratic,3,,,,,,
Randolph Daniel Moss,Barack Obama,Democratic,3,,,,,,
Ketanji Brown Jackson,Barack Obama,Democratic,3,,,,,,
Tanya Sue Chutkan,Barack Obama,Democratic,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
,Donald J. Trump,Republican,3,Yale Law School,J.D.,1992-01-01,1992,Yale,J.D.
,Donald J. Trump,Republican,3,,,,,,
William Blakely Jones,John F. Kennedy,Democratic,3,,,,,,
Louis Falk Oberdorfer,Jimmy Carter,Democratic,3,,,,,,
John Garrett Penn,Jimmy Carter,Democratic,3,Boston University School of Law,LL.B.,1957-01-01,1957,Boston,LL.B.
Harold H. Greene,Jimmy Carter,Democratic,3,,,,,,
Joyce Hens Green,Jimmy Carter,Democratic,3,,,,,,
Norma Holloway Johnson,Jimmy Carter,Democratic,3,,,,,,
"Charles Edward Wyzanski, Jr.",Franklin D. Roosevelt,Democratic,3,,,,,,
George Clinton Sweeney,Franklin D. Roosevelt,Democratic,3,,,,,,
Arthur Daniel Healey,Franklin D. Roosevelt,Democratic,3,,,,,,
Francis Joseph William Ford,Franklin D. Roosevelt,Democratic,3,,,,,,
Hugh Dean McLellan,Herbert Hoover,Republican,3,,,,,,
Andrew Augustine Caffrey,Dwight D. Eisenhower,Republican,3,Boston College Law School,LL.B.,1948-01-01,1948,Boston,LL.B.
Anthony Julian,Dwight D. Eisenhower,Republican,3,,,,,,
William T. McCarthy,Harry S Truman,Democratic,3,,,,,,
Frank Harlan Freedman,Richard M. Nixon,Republican,3,,,,,,
Joseph Louis Tauro,Richard M. Nixon,Republican,3,,,,,,
Walter Jay Skinner,Richard M. Nixon,Republican,3,,,,,,
Thomas Leverett Nelson,Rutherford B. Hayes,Republican,3,Read law,,1855-01-01,1855,Read law,
Frank Jerome Murray,Lyndon B. Johnson,Democratic,3,,,,,,
"Wendell Arthur Garrity, Jr.",Lyndon B. Johnson,Democratic,3,,,,,,
James Arnold Lowell,Warren G. Harding,Republican,3,,,,,,
Elisha Hume Brewster,Warren G. Harding,Republican,3,,,,,,
Nathaniel M. Gorton,George H.W. Bush,Republican,3,,,,,,
"F. Dennis Saylor, IV",George W. Bush,Republican,3,,,,,,
Edward Francis Harrington,Ronald Reagan,Republican,3,,,,,,
Douglas Preston Woodlock,Ronald Reagan,Republican,3,,,,,,
Mark Lawrence Wolf,Ronald Reagan,Republican,3,,,,,,
William G. Young,Ronald Reagan,Republican,3,,,,,,
Michael Adrian Ponsor,William J. Clinton,Democratic,3,University of Oxford,M.A.,1979-01-01,1979,Uof Oxford,M.A.
Nancy Gertner,William J. Clinton,Democratic,3,Yale University,M.A.,1971-01-01,1971,Yale,M.A.
Patti B. Saris,William J. Clinton,Democratic,3,,,,,,
Richard Gaylore Stearns,William J. Clinton,Democratic,3,Harvard Law School,J.D.,1976-01-01,1976,Harvard,J.D.
Reginald C. Lindsay,William J. Clinton,Democratic,3,,,,,,
"George A. O'Toole, Jr.",William J. Clinton,Democratic,3,,,,,,
Mark Gerald Mastroianni,Barack Obama,Democratic,3,,,,,,
Timothy Spafard Hillman,Barack Obama,Democratic,3,,,,,,
Leo Theodore Sorokin,Barack Obama,Democratic,3,,,,,,
Allison Dale Burroughs,Barack Obama,Democratic,3,,,,,,
Denise Jefferson Casper,Barack Obama,Democratic,3,,,,,,
Indira Talwani,Barack Obama,Democratic,3,,,,,,
John Davis,John Adams,Federalist,3,,,,,,
Peleg Sprague,John Tyler,Whig,3,Read law,,1815-01-01,1815,Read law,
A. David Mazzone,Jimmy Carter,Democratic,3,,,,,,
Robert Ernest Keeton,Jimmy Carter,Democratic,3,Harvard Law School,S.J.D.,1956-01-01,1956,Harvard,S.J.D.
John Joseph McNaught,Jimmy Carter,Democratic,3,,,,,,
Rya Weickert Zobel,Jimmy Carter,Democratic,3,,,,,,
David Sutherland Nelson,Jimmy Carter,Democratic,3,,,,,,
Aloysius Joseph Connor,Franklin D. Roosevelt,Democratic,3,,,,,,
Daniel Clark,Andrew Johnson,Democratic,3,,,,,,
George Franklin Morris,Warren G. Harding,Republican,3,,,,,,
Paul J. Barbadoro,George H.W. Bush,Republican,3,,,,,,
Steven J. McAuliffe,George H.W. Bush,Republican,3,,,,,,
"Joseph A. Diclerico, Jr.",George H.W. Bush,Republican,3,,,,,,
Joseph Normand Laplante,George W. Bush,Republican,3,,,,,,
Landya B. McCafferty,Barack Obama,Democratic,3,,,,,,
John Sullivan,George Washington,,3,,,,,,
John Pickering,George Washington,,3,,,,,,
Matthew Harvey,Andrew Jackson,Democratic,3,,,,,,
John Samuel Sherburne,Thomas Jefferson,Jeffersonian Republican,3,Dartmouth College,,1776-01-01,1776,Dartmouth,
Edgar Aldrich,Benjamin Harrison,Republican,3,,,,,,
Shane Devine,Jimmy Carter,Democratic,3,,,,,,
Martin Francis Loughlin,Jimmy Carter,Democratic,3,,,,,,
Hiram Church Ford,Franklin D. Roosevelt,Democratic,3,,,,,,
H[oward] David Hermansdorfer,Richard M. Nixon,Republican,3,,,,,,
Joseph Martin Hood,George H.W. Bush,Republican,3,,,,,,
Karen K. Caldwell,George W. Bush,Republican,3,,,,,,
David L. Bunning,George W. Bush,Republican,3,,,,,,
Gregory Frederick Van Tatenhove,George W. Bush,Republican,3,,,,,,
Danny C. Reeves,George W. Bush,Republican,3,,,,,,
"Henry Rupert Wilhoit, Jr.",Ronald Reagan,Republican,3,,,,,,
Karl Spillman Forester,Ronald Reagan,Republican,3,,,,,,
,Donald J. Trump,Republican,3,,,,,,
"Bernard Thomas Moynahan, Jr.",John F. Kennedy,Democratic,3,,,,,,
Andrew McConnell January Cochran,William McKinley,Republican,3,,,,,,
Scott Elgin Reed,Jimmy Carter,Democratic,3,,,,,,
William Odis Bertelsman,Jimmy Carter,Democratic,3,,,,,,
Green Wix Unthank,Jimmy Carter,Democratic,3,,,,,,
Charles Sterling Hutcheson,Franklin D. Roosevelt,Democratic,3,,,,,,
Robert Nelson Pollard,Franklin D. Roosevelt,Democratic,3,,,,,,
Luther B. Way,Herbert Hoover,Republican,3,,,,,,
Oren Ritter Lewis,Dwight D. Eisenhower,Republican,3,,,,,,
Walter Edward Hoffman,Dwight D. Eisenhower,Republican,3,Washington and Lee University School of Law,LL.B.,1931-01-01,1931,Washington and Lee,LL.B.
Robert William Hughes,Ulysses Grant,Republican,3,,,,,,
David Dortch Warriner,Richard M. Nixon,Republican,3,,,,,,
"Albert Vickers Bryan, Jr.",Richard M. Nixon,Republican,3,,,,,,
"Robert Reynold Merhige, Jr.",Lyndon B. Johnson,Democratic,3,,,,,,
Richard Boykin Kellam,Lyndon B. Johnson,Democratic,3,,,,,,
John Ashton MacKenzie,Lyndon B. Johnson,Democratic,3,,,,,,
Rebecca Beach Smith,George H.W. Bush,Republican,3,William and Mary Law School,J.D.,1979-01-01,1979,William and Mary,J.D.
Robert E. Payne,George H.W. Bush,Republican,3,,,,,,
"Henry Coke Morgan, Jr.",George H.W. Bush,Republican,3,,,,,,
Mark Steven Davis,George W. Bush,Republican,3,,,,,,
Liam O'Grady,George W. Bush,Republican,3,,,,,,
"Walter DeKalb Kelley, Jr.",George W. Bush,Republican,3,,,,,,
Anthony John Trenga,George W. Bush,Republican,3,,,,,,
Henry E. Hudson,George W. Bush,Republican,3,,,,,,
"Thomas Selby Ellis, III",Ronald Reagan,Republican,3,University of Oxford Faculty of Law,Diploma in Law,1970-01-01,1970,Uof Oxford,Diploma
Robert George Doumar,Ronald Reagan,Republican,3,University of Virginia School of Law,LL.M.,1988-01-01,1988,Uof Virginia,LL.M.
James Randolph Spencer,Ronald Reagan,Republican,3,Howard University,M.Div.,1985-01-01,1985,Howard,M.Div.
James Chris Cacheris,Ronald Reagan,Republican,3,,,,,,
Claude M. Hilton,Ronald Reagan,Republican,3,,,,,,
Jerome B. Friedman,William J. Clinton,Democratic,3,,,,,,
Leonie M. Brinkema,William J. Clinton,Democratic,3,Cornell Law School,J.D.,1976-01-01,1976,Cornell,J.D.
Raymond Alvin Jackson,William J. Clinton,Democratic,3,,,,,,
Gerald Bruce Lee,William J. Clinton,Democratic,3,,,,,,
"John Adrian Gibney, Jr.",Barack Obama,Democratic,3,,,,,,
