Ind,Court_Circuit,Court_Name_Long,Court_Name_Short,Court_Abbrev_Bluebook,Court_Abbrev_Website,State_Name,State_Abbrev,Court_Type,Court_Category,Court_Cat_Const
103,9,U.S. District Court for the Western District of Washington,Western District of Washington,W.D. Wash.,09 - WA-W,Washington,WA,District Court,Federal,Article III
104,4,U.S. District Court for the Northern District of West Virginia,Northern District of West Virginia,N.D.W. Va.,04 - WV-N,West Virginia,WV,District Court,Federal,Article III
105,4,U.S. District Court for the Southern District of West Virginia,Southern District of West Virginia,S.D.W. Va.,04 - WV-S,West Virginia,WV,District Court,Federal,Article III
106,7,U.S. District Court for the Eastern District of Wisconsin,Eastern District of Wisconsin,E.D. Wis.,07 - IN-E,Wisconsin,WI,District Court,Federal,Article III
107,7,U.S. District Court for the Western District of Wisconsin,Western District of Wisconsin,W.D. Wis.,07 - IN-W,Wisconsin,WI,District Court,Federal,Article III
108,10,U.S. District Court for the District of Wyoming,District of Wyoming,D. Wyo.,10 - WY,Wyoming,WY,District Court,Federal,Article III
110,,U.S. Court of International Trade,Court of International Trade,Int'l Trade,IT,,,,Federal,Article III
111,,U.S. Foreign Intelligence Surveillance Court,FISA Court,,,,,,Federal,Article III
112,,U.S. Foreign Intelligence Surveillance Court of Review,FISCR,,,,,,Federal,Article III
113,,U.S. Alien Terrorist Removal Court,Alien Terrorist Removal Court,,,,,,Federal,Article III
114,,U.S. Judicial Panel on Multidistrict Litigation,,J.P.M.L.,,,,,Federal,Article I
115,,U.S. Court of Federal Claims,,Fed. Cl.,CL,,,,,
